epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,598.405,1.16034,0.52074,0.58902,2.79572,0.000237406,0.000237406,0.000237406
2,1087.62,0.34036,0.56002,0.58934,3.40524,0.000428341,0.000428341,0.000428341
3,1653.91,0.23346,0.5753,0.58934,3.72946,0.000572152,0.000572152,0.000572152
4,2287.18,0.18123,0.5806,0.58965,4.49703,0.000501942,0.000501942,0.000501942
5,2816.76,0.14513,0.58185,0.58965,4.29299,0.000431256,0.000431256,0.000431256
6,3299.48,0.11873,0.58092,0.59121,4.77444,0.00036057,0.00036057,0.00036057
7,3696.61,0.10166,0.58591,0.59058,4.79691,0.000289884,0.000289884,0.000289884
8,4097.63,0.09725,0.58435,0.59308,4.86969,0.000219198,0.000219198,0.000219198
9,4539.64,0.09415,0.58622,0.59121,5.29006,0.000148512,0.000148512,0.000148512
10,4993.07,0.07112,0.58653,0.59089,4.99276,7.7826e-05,7.7826e-05,7.7826e-05
